index	h_id	uniprot_id
1070	h_1070	O75306
1071	h_1071	P25098
1072	h_1072	P49327
1073	h_1073	P43007
1074	h_1074	P29353
1075	h_1075	O43612
1076	h_1076	P08887
1077	h_1077	O95573
1078	h_1078	Q14626
1079	h_1079	P20333
1080	h_1080	Q9UJ68
1081	h_1081	P35626
1082	h_1082	P15509
1083	h_1083	Q9UEW8
1084	h_1084	Q13555
1085	h_1085	Q86SR1
1086	h_1086	O95263
1087	h_1087	P34913
1088	h_1088	P33316
1089	h_1089	P35221
1090	h_1090	P51570
1091	h_1091	O60656
1092	h_1092	Q9BRR9
1093	h_1093	Q9H239
1094	h_1094	O14983
1095	h_1095	Q6UX04
1096	h_1096	P35241
1097	h_1097	Q92696
1098	h_1098	O00141
1099	h_1099	P00441
1100	h_1100	P26572
1101	h_1101	V9HWF6
1102	h_1102	P29460
1103	h_1103	P19021
1104	h_1104	P14868
1105	h_1105	Q96I59
1106	h_1106	P21953
1107	h_1107	P09237
1108	h_1108	P20936
1109	h_1109	P28838
1110	h_1110	O15143
1111	h_1111	P35503
1112	h_1112	Q9Y468
1113	h_1113	P51970
1114	h_1114	O00764
1115	h_1115	Q86VZ2
1116	h_1116	Q14653
1117	h_1117	P54764
1118	h_1118	P00915
1119	h_1119	P55895
1120	h_1120	Q13162
1121	h_1121	P20645
1122	h_1122	O60513
1123	h_1123	P16581
1124	h_1124	Q5S007
1125	h_1125	P47736
1126	h_1126	Q16706
1127	h_1127	P30085
1128	h_1128	O60563
1129	h_1129	Q9NSD9
1130	h_1130	Q96RQ9
1131	h_1131	Q9HD40
1132	h_1132	O15146
1133	h_1133	P40238
1134	h_1134	Q8NBZ7
1135	h_1135	O95069
1136	h_1136	P15382
1137	h_1137	P37108
1138	h_1138	O60341
1139	h_1139	Q9H169
1140	h_1140	Q8NHP8
1141	h_1141	P48047
1142	h_1142	P45844
1143	h_1143	P19878
1144	h_1144	P23528
1145	h_1145	Q5R1W2
1146	h_1146	O75899
1147	h_1147	P04792
1148	h_1148	P52758
1149	h_1149	P17931
1150	h_1150	P08240
1151	h_1151	P55789
1152	h_1152	Q00536
1153	h_1153	O76082
1154	h_1154	P00451
1155	h_1155	P05108
1156	h_1156	P78330
1157	h_1157	Q05329
1158	h_1158	Q5T3U5
1159	h_1159	P13995
1160	h_1160	P18858
1161	h_1161	Q12756
1162	h_1162	P62984
1163	h_1163	Q9Y266
1164	h_1164	P14780
1165	h_1165	Q9Y275
1166	h_1166	O15528
1167	h_1167	Q01970
1168	h_1168	Q9BY32
1169	h_1169	P48664
1170	h_1170	Q9NVV9
1171	h_1171	P78417
1172	h_1172	P42898
1173	h_1173	P28222
1174	h_1174	P08311
1175	h_1175	Q9H4G4
1176	h_1176	O60678
1177	h_1177	H2RA86
1178	h_1178	Q15800
1179	h_1179	Q96MA6
1180	h_1180	P09601
1181	h_1181	Q9GZT4
1182	h_1182	P30084
1183	h_1183	Q96BT7
1184	h_1184	Q03181
1185	h_1185	H2PYQ3
1186	h_1186	P62312
1187	h_1187	P48448
1188	h_1188	O75874
1189	h_1189	Q16878
1190	h_1190	P41146
1191	h_1191	Q9BQG1
1192	h_1192	Q5R5A0
1193	h_1193	P08236
1194	h_1194	P05093
1195	h_1195	Q13144
1196	h_1196	P04035
1197	h_1197	Q02221
1198	h_1198	P16410
1199	h_1199	Q9UBN7
1200	h_1200	Q709F0
1201	h_1201	Q92947
1202	h_1202	Q92900
1203	h_1203	P26439
1204	h_1204	P22352
1205	h_1205	Q16538
1206	h_1206	Q9BYC2
1207	h_1207	P06133
1208	h_1208	Q9BVM4
1209	h_1209	P14921
1210	h_1210	Q9ULD4
1211	h_1211	P47870
1212	h_1212	Q9UPP1
1213	h_1213	P29017
1214	h_1214	Q9GZV3
1215	h_1215	P08185
1216	h_1216	P03923
1217	h_1217	P10606
1218	h_1218	Q9NVS9
1219	h_1219	P50395
1220	h_1220	P49959
1221	h_1221	P01008
1222	h_1222	P35499
